,make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
32066,67,835,3999,0,2004.0,150000,75.0,5,1,295,14,True,49
32067,46,484,14900,0,2017.0,69846,95.0,3,1,3090,10,True,29
32068,26,740,20570,0,2018.0,36981,115.0,5,1,1577,33,True,29
32069,59,744,27900,0,2019.0,8237,150.0,5,1,2384,14,True,9
32070,69,565,12800,0,2012.0,112000,140.0,4,1,1577,17,True,10
32071,31,701,32990,4,2006.0,19200,416.0,3,0,2592,51,True,29
32073,22,766,28500,0,2009.0,81000,140.0,2,1,881,7,False,33
32075,11,160,4750,4,2010.0,75600,88.0,5,1,2592,3,False,47
32076,7,691,15900,0,2014.0,130000,184.0,4,1,881,30,True,20
32077,59,475,26299,4,2017.0,29870,300.0,5,1,295,34,True,39
32078,21,58,6985,4,2016.0,88700,69.0,3,1,1577,23,True,42
32079,59,417,6500,0,2011.0,99799,75.0,5,1,881,4,True,28
32080,22,517,10995,0,2017.0,175000,150.0,5,0,1577,13,True,7
32081,7,687,12990,0,2015.0,169455,116.0,5,1,881,31,True,39
32083,50,423,8550,0,2016.0,88000,120.0,5,1,881,8,True,39
32084,50,121,2900,4,2001.0,180000,147.0,2,1,295,6,True,0
32085,69,565,8990,0,2011.0,190000,140.0,5,1,295,19,False,7
32087,51,17,1800,4,2000.0,63852,60.0,3,1,881,3,False,51
32088,21,294,7500,0,2013.0,132800,90.0,5,1,881,9,True,22
32089,44,230,13700,0,2008.0,161000,224.0,5,0,2592,18,True,29
32090,4,91,29890,0,2017.0,99900,190.0,5,0,2592,30,True,29
32091,50,843,1850,0,2004.0,270000,100.0,5,1,1577,12,True,29
32092,14,671,3950,0,2012.0,137000,75.0,5,1,684,20,True,45
32093,26,867,11990,0,2017.0,37543,95.0,5,1,1577,29,True,29
32094,22,529,42000,4,2016.0,50000,435.0,2,1,1577,9,False,2
32095,36,345,8500,0,2010.0,220000,160.0,5,1,295,25,True,29
32096,10,804,300,0,2001.0,475300,115.0,5,1,1577,3,False,45
