,make,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province
43212,OPEL,3900,Diésel,2009.0,253000,120.0,3,Manual,Negro,7,False,Valladolid
43213,VOLKSWAGEN,3600,Gasolina,2005.0,139000,75.0,5,Manual,Gris / Plata,10,True,Barcelona
43214,FORD,1500,Diésel,2005.0,338400,136.0,5,Manual,Gris / Plata,20,True,Vizcaya
43215,BMW,10990,Gasolina,2005.0,218000,170.0,2,Manual,Negro,27,True,Salamanca
43216,CITROEN,1900,Gasolina,2005.0,130000,75.0,5,Manual,Gris / Plata,7,False,Madrid
43217,SKODA,9300,Gasolina,2019.0,29214,75.0,5,Manual,Beige Capuccino (metalizado),20,True,Madrid
43218,VOLKSWAGEN,26800,Gasolina,2015.0,78375,220.0,5,Automático,Blanco,35,True,Barcelona
43219,VOLKSWAGEN,14990,Gasolina,2012.0,69999,160.0,2,Manual,Rojo,31,True,Valencia
43220,OPEL,14899,Diésel,2017.0,108970,136.0,5,Automático,GDX Azul ConstelaciÃ³n (metalizado),11,True,Madrid
43221,BMW,35999,Híbrido enchufable,2015.0,152000,313.0,5,Automático,Gris / Plata,12,True,Madrid
43222,AUDI,10500,Diésel,2007.0,300000,240.0,5,Automático,Negro,30,False,Madrid
43223,RENAULT,7100,Gasolina,2015.0,162000,115.0,5,Manual,Blanco,11,False,Barcelona
43224,MERCEDES-BENZ,22990,Diésel,2017.0,39995,136.0,4,Manual,Negro,12,True,Asturias
43226,SSANGYONG,5495,Diésel,2007.0,170000,165.0,5,Automático,Negro,14,True,Madrid
43227,SEAT,12600,Gasolina,2018.0,92850,95.0,5,Manual,Blanco,17,True,Alicante
43228,FORD,4750,Diésel,2007.0,153000,136.0,3,Manual,Rojo,25,True,Barcelona
43229,FORD,19500,Gasolina,2019.0,41000,150.0,5,Manual,Negro (NEGRO),6,True,Cantabria
43230,SKODA,3000,Diésel,2005.0,42250,64.0,5,Manual,Beige,3,False,Córdoba
43231,VOLKSWAGEN,14900,Diésel,2014.0,89900,105.0,3,Manual,Negro,10,True,Soria
43232,AUDI,18900,Gasolina,2017.0,31303,125.0,3,Automático,Azul,15,True,Valladolid
43234,BMW,4800,Gasolina,1993.0,179000,150.0,2,Manual,Blanco,5,False,Alicante
